P3N-PIPO	P3N-PIPO	Zillian	PPV	BiFC		0	1
							
							
P1	P1	Lin	SMV-P	Y2H	0	0	1
P1	HC-Pro	Lin	SMV-P	Y2H	0	0	1
P1	P3	Lin	SMV-P	Y2H	0	0	1
P1	6K1	Lin	SMV-P	Y2H	0	0	1
P1	CI	Lin	SMV-P	Y2H	0	0	1
P1	6K2	Lin	SMV-P	Y2H	0	0	1
P1	VPg	Lin	SMV-P	Y2H	0	0	1
P1	NIa-Pro	Lin	SMV-P	Y2H	0	0	1
P1	NIb	Lin	SMV-P	Y2H	0	0	1
P1	CP	Lin	SMV-P	Y2H	0	0	1
							
HC-Pro	P1	Lin	SMV-P	Y2H	0	0	1
HC-Pro	HC-Pro	Lin	SMV-P	Y2H	2	1	1
HC-Pro	P3	Lin	SMV-P	Y2H	0	0	1
HC-Pro	6K1	Lin	SMV-P	Y2H	0	0	1
HC-Pro	CI	Lin	SMV-P	Y2H	2	1	1
HC-Pro	6K2	Lin	SMV-P	Y2H	0	0	1
HC-Pro	VPg	Lin	SMV-P	Y2H	0	0	1
HC-Pro	NIa-Pro	Lin	SMV-P	Y2H	1	1	1
HC-Pro	NIb	Lin	SMV-P	Y2H	2	1	1
HC-Pro	CP	Lin	SMV-P	Y2H	1	1	1
							
P3	P1	Lin	SMV-P	Y2H	0	0	1
P3	HC-Pro	Lin	SMV-P	Y2H	0	0	1
P3	P3	Lin	SMV-P	Y2H	0	0	1
P3	6K1	Lin	SMV-P	Y2H	0	0	1
P3	CI	Lin	SMV-P	Y2H	0	0	1
P3	6K2	Lin	SMV-P	Y2H	0	0	1
P3	VPg	Lin	SMV-P	Y2H	1	1	1
P3	NIa-Pro	Lin	SMV-P	Y2H	1	1	1
P3	NIb	Lin	SMV-P	Y2H	2	1	1
P3	CP	Lin	SMV-P	Y2H	0	0	1
							
6K1	P1	Lin	SMV-P	Y2H	0	0	1
6K1	HC-Pro	Lin	SMV-P	Y2H	0	0	1
6K1	P3	Lin	SMV-P	Y2H	0	0	1
6K1	6K1	Lin	SMV-P	Y2H	0	0	1
6K1	CI	Lin	SMV-P	Y2H	2	1	1
6K1	6K2	Lin	SMV-P	Y2H	0	0	1
6K1	VPg	Lin	SMV-P	Y2H	2	1	1
6K1	NIa-Pro	Lin	SMV-P	Y2H	2	1	1
6K1	NIb	Lin	SMV-P	Y2H	3	1	1
6K1	CP	Lin	SMV-P	Y2H	0	0	1
							
CI	P1	Lin	SMV-P	Y2H	0	0	1
CI	HC-Pro	Lin	SMV-P	Y2H	2	1	1
CI	P3	Lin	SMV-P	Y2H	0	0	1
CI	6K1	Lin	SMV-P	Y2H	2	1	1
CI	CI	Lin	SMV-P	Y2H	1	1	1
CI	6K2	Lin	SMV-P	Y2H	0	0	1
CI	VPg	Lin	SMV-P	Y2H	2	1	1
CI	NIa-Pro	Lin	SMV-P	Y2H	2	1	1
CI	NIb	Lin	SMV-P	Y2H	2	1	1
CI	CP	Lin	SMV-P	Y2H	0	0	1
							
6K2	P1	Lin	SMV-P	Y2H	0	0	1
6K2	HC-Pro	Lin	SMV-P	Y2H	0	0	1
6K2	P3	Lin	SMV-P	Y2H	0	0	1
6K2	6K1	Lin	SMV-P	Y2H	0	0	1
6K2	CI	Lin	SMV-P	Y2H	0	0	1
6K2	6K2	Lin	SMV-P	Y2H	0	0	1
6K2	VPg	Lin	SMV-P	Y2H	2	1	1
6K2	NIa-Pro	Lin	SMV-P	Y2H	2	1	1
6K2	NIb	Lin	SMV-P	Y2H	2	1	1
6K2	CP	Lin	SMV-P	Y2H	0	0	1
							
VPg	P1	Lin	SMV-P	Y2H	0	0	1
VPg	HC-Pro	Lin	SMV-P	Y2H	0	0	1
VPg	P3	Lin	SMV-P	Y2H	1	1	1
VPg	6K1	Lin	SMV-P	Y2H	2	1	1
VPg	CI	Lin	SMV-P	Y2H	2	1	1
VPg	6K2	Lin	SMV-P	Y2H	2	1	1
VPg	VPg	Lin	SMV-P	Y2H	3	1	1
VPg	NIa-Pro	Lin	SMV-P	Y2H	2	1	1
VPg	NIb	Lin	SMV-P	Y2H	2	1	1
VPg	CP	Lin	SMV-P	Y2H	0	0	1
							
NIa-Pro	P1	Lin	SMV-P	Y2H	0	0	1
NIa-Pro	HC-Pro	Lin	SMV-P	Y2H	1	1	1
NIa-Pro	P3	Lin	SMV-P	Y2H	1	1	1
NIa-Pro	6K1	Lin	SMV-P	Y2H	2	1	1
NIa-Pro	CI	Lin	SMV-P	Y2H	2	1	1
NIa-Pro	6K2	Lin	SMV-P	Y2H	2	1	1
